Source,CH1
Second,Volt
-0.00240840016,0.12000
-0.00240800016,0.12000
-0.00240760016,0.12000
-0.00240720016,0.11800
-0.00240680016,0.12000
-0.00240640016,0.11800
-0.00240600016,0.11800
-0.00240560016,0.11800
-0.00240520016,0.11800
-0.00240480016,0.12000
-0.00240440016,0.12000
-0.00240400016,0.11800
-0.00240360016,0.11800
-0.00240320016,0.11600
-0.00240280016,0.11800
-0.00240240016,0.12000
-0.00240200016,0.11800
-0.00240160016,0.12000
-0.00240120016,0.11800
-0.00240080016,0.12000
-0.00240040016,0.12000
-0.00240000016,0.12000
-0.00239960031,0.12000
-0.00239920031,0.12000
-0.00239880031,0.12000
-0.00239840031,0.12000
-0.00239800031,0.12000
-0.00239760031,0.12000
-0.00239720031,0.12200
-0.00239680031,0.12000
-0.00239640031,0.12000
-0.00239600031,0.12000
-0.00239560031,0.12000
-0.00239520031,0.11800
-0.00239480031,0.12000
-0.00239440031,0.11800
-0.00239400031,0.12000
-0.00239360031,0.12000
-0.00239320031,0.11800
-0.00239280031,0.11800
-0.00239240031,0.11600
-0.00239200031,0.12000
-0.00239160031,0.12000
-0.00239120031,0.12000
-0.00239080031,0.12000
-0.00239040031,0.12000
-0.00239000031,0.12000
-0.00238960031,0.12000
-0.00238920031,0.11800
-0.00238880031,0.11600
-0.00238840031,0.11800
-0.00238800031,0.11600
-0.00238760031,0.11800
-0.00238720031,0.11600
-0.00238680031,0.11800
-0.00238640031,0.11800
-0.00238600031,0.11600
-0.00238560031,0.11800
-0.00238520016,0.11800
-0.00238480016,0.11800
-0.00238440016,0.12000
-0.00238400016,0.12200
-0.00238360016,0.12000
-0.00238320016,0.12000
-0.00238280016,0.12000
-0.00238240016,0.11800
-0.00238200016,0.11800
-0.00238160016,0.11800
-0.00238120016,0.11800
-0.00238080016,0.11800
-0.00238040016,0.11800
-0.00238000016,0.11600
-0.00237960016,0.11800
-0.00237920016,0.11800
-0.00237880016,0.11800
-0.00237840016,0.11800
-0.00237800016,0.12000
-0.00237760016,0.12000
-0.00237720016,0.12000
-0.00237680016,0.11800
-0.00237640016,0.11800
-0.00237600016,0.11800
-0.00237560016,0.12000
-0.00237520016,0.11800
-0.00237480016,0.12000
-0.00237440016,0.12200
-0.00237400016,0.12000
-0.00237360016,0.11800
-0.00237320016,0.12000
-0.00237280016,0.11800
-0.00237240016,0.11800
-0.00237200016,0.11800
-0.00237160016,0.12000
-0.00237120016,0.12000
-0.00237080016,0.11800
-0.00237040016,0.11800
-0.00237000016,0.11800
-0.00236960016,0.11800
-0.00236920016,0.11800
-0.00236880016,0.11800
-0.00236840016,0.11800
-0.00236800016,0.11800
-0.00236760016,0.11800
-0.00236720016,0.12000
-0.00236680016,0.11800
-0.00236640016,0.12200
-0.00236600016,0.12000
-0.00236560016,0.12000
-0.00236520016,0.11800
-0.00236480016,0.11800
-0.00236440000,0.12000
-0.00236400000,0.12000
-0.00236360000,0.12200
-0.00236320000,0.11800
-0.00236280000,0.11800
-0.00236240000,0.11800
-0.00236200000,0.12000
-0.00236160000,0.12000
-0.00236120000,0.12000
-0.00236080000,0.11800
-0.00236040000,0.11800
-0.00236000000,0.11800
-0.00235960031,0.12000
-0.00235920031,0.11800
-0.00235880031,0.11800
-0.00235840031,0.11600
