#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A42005
#Date Time: 2018-03-08 09:48:49.819
#Sample rate: 487805Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V

Time (s),Channel 1 (V)
-0.013366455555555556,-0.0068123890764331674
-0.013364405555555556,-0.0047976588179304757
-0.013362355555555556,-0.0074839658292673982
-0.013360305555555556,-0.0081555425821016291
-0.013358255555555556,-0.0068123890764331674
-0.013356205555555556,-0.0068123890764331674
-0.013354155555555556,-0.0071481774528502828
-0.013352105555555556,-0.0068123890764331674
-0.013350055555555556,-0.0071481774528502828
-0.013348005555555556,-0.0064766007000160528
-0.013345955555555556,-0.0064766007000160528
-0.013343905555555556,-0.0064766007000160528
-0.013341855555555556,-0.0068123890764330147
-0.013339805555555556,-0.0054692355707653172
-0.013337755555555556,-0.0074839658292664823
-0.013335705555555556,-0.0071481774528504355
-0.013333655555555556,-0.0064766007000163581
-0.013331605555555556,-0.0068123890764330147
-0.013329555555555556,-0.0078197542056840548
-0.013327505555555556,-0.0058050239471827379
-0.013325455555555556,-0.0081555425821005605
-0.013323405555555556,-0.0081555425821016291
-0.013321355555555556,-0.0078197542056846654
-0.013319305555555556,-0.0061408123235997007
-0.013317255555555556,-0.0071481774528498248
-0.013315205555555557,-0.0081555425821011711
-0.013313155555555557,-0.0081555425821016291
-0.013311105555555557,-0.0071481774528507408
-0.013309055555555557,-0.0078197542056842075
-0.013307005555555557,-0.0058050239471827379
-0.013304955555555557,-0.0051334471943478965
-0.013302905555555557,-0.007148177452849366
-0.013300855555555557,-0.0078197542056842075
-0.013298805555555557,-0.0091629077113523638
-0.013296755555555557,-0.0071481774528511996
-0.013294705555555557,-0.0064766007000163581
-0.013292655555555557,-0.0054692355707651645
-0.013290605555555555,-0.0061408123235989374
-0.013288555555555555,-0.0068123890764331674
-0.013286505555555555,-0.0068123890764331674
-0.013284455555555555,-0.0074839658292673982
-0.013282405555555555,-0.0074839658292673982
-0.013280355555555555,-0.0071481774528502828
-0.013278305555555555,-0.0071481774528502828
-0.013276255555555555,-0.0081555425821016291
-0.013274205555555555,-0.0061408123235989374
-0.013272155555555555,-0.0071481774528502828
-0.013270105555555555,-0.0088271193349358599
-0.013268055555555556,-0.0074839658292673982
-0.013266005555555556,-0.0061408123235989374
-0.013263955555555556,-0.0074839658292673982
-0.013261905555555556,-0.0084913309585187436
-0.013259855555555556,-0.0078197542056845128
-0.013257805555555556,-0.0061408123235989374
-0.013255755555555556,-0.0074839658292673982
-0.013253705555555556,-0.0081555425821016291
-0.013251655555555556,-0.0078197542056845128
-0.013249605555555556,-0.0071481774528502828
-0.013247555555555556,-0.0084913309585187436
-0.013245505555555556,-0.0074839658292673982
-0.013243455555555556,-0.0078197542056845128
-0.013241405555555556,-0.0098344844641872053
-0.013239355555555556,-0.0074839658292673982
-0.013237305555555556,-0.0064766007000160528
-0.013235255555555556,-0.0074839658292673982
-0.013233205555555554,-0.0084913309585185909
-0.013231155555555554,-0.0081555425821017817
-0.013229105555555554,-0.0084913309585192016
-0.013227055555555554,-0.0094986960877697854
-0.013225005555555554,-0.0088271193349358599
-0.013222955555555554,-0.0088271193349360125
-0.013220905555555554,-0.0091629077113525165
-0.013218855555555555,-0.0081555425821011711
-0.013216805555555555,-0.0071481774528502828
-0.013214755555555555,-0.0071481774528510461
-0.013212705555555555,-0.0088271193349358599
-0.013210655555555555,-0.0088271193349361652
-0.013208605555555555,-0.0094986960877697854
-0.013206555555555555,-0.0088271193349355546
-0.013204505555555555,-0.0081555425821016291
-0.013202455555555555,-0.0081555425821016291
-0.013200405555555555,-0.0081555425821014764
-0.013198355555555555,-0.0078197542056848181
-0.013196305555555555,-0.0084913309585193542
-0.013194255555555555,-0.0098344844641870526
-0.013192205555555555,-0.0094986960877702434
-0.013190155555555555,-0.009834484464185984
-0.013188105555555555,-0.0071481774528513514
-0.013186055555555555,-0.0094986960877699381
-0.013184005555555555,-0.0091629077113531271
-0.013181955555555555,-0.0094986960877693274
-0.013179905555555555,-0.0078197542056845128
-0.013177855555555555,-0.0074839658292673982
-0.013175805555555555,-0.0081555425821016291
-0.013173755555555555,-0.0088271193349358599
-0.013171705555555555,-0.0081555425821016291
-0.013169655555555555,-0.0071481774528502828
-0.013167605555555555,-0.0068123890764331674
-0.013165555555555555,-0.0081555425821016291
-0.013163505555555555,-0.0094986960877700907
-0.013161455555555555,-0.0084913309585187436
-0.013159405555555555,-0.0078197542056845128
-0.013157355555555555,-0.0084913309585187436
-0.013155305555555556,-0.0081555425821016291
-0.013153255555555556,-0.0081555425821016291
-0.013151205555555556,-0.0081555425821016291
-0.013149155555555556,-0.0064766007000160528
-0.013147105555555556,-0.0081555425821016291
-0.013145055555555556,-0.0074839658292673982
-0.013143005555555556,-0.0081555425821016291
-0.013140955555555556,-0.0084913309585187436
-0.013138905555555556,-0.0078197542056845128
-0.013136855555555556,-0.0078197542056845128
-0.013134805555555556,-0.0084913309585187436
-0.013132755555555556,-0.0074839658292673982
-0.013130705555555556,-0.0084913309585187436
-0.013128655555555556,-0.0081555425821016291
-0.013126605555555556,-0.0078197542056845128
-0.013124555555555556,-0.0081555425821016291
-0.013122505555555556,-0.0078197542056845128
-0.013120455555555556,-0.0088271193349358599
-0.013118405555555556,-0.0088271193349358599
-0.013116355555555556,-0.0084913309585188963
-0.013114305555555556,-0.0084913309585187436
-0.013112255555555556,-0.0078197542056848181
-0.013110205555555556,-0.0098344844641862893
-0.013108155555555556,-0.0081555425821023923
-0.013106105555555556,-0.0074839658292677035
-0.013104055555555556,-0.0094986960877691748
-0.013102005555555556,-0.0094986960877700907
-0.013099955555555556,-0.0098344844641870526
-0.013097905555555556,-0.0088271193349363179
-0.013095855555555556,-0.011177637969854598
-0.013093805555555556,-0.0098344844641878159
-0.013091755555555556,-0.0098344844641872053
-0.013089705555555557,-0.0081555425821023923
-0.013087655555555557,-0.0081555425821016291
-0.013085605555555557,-0.0094986960877694801
-0.013083555555555557,-0.0098344844641870526
-0.013081505555555557,-0.0098344844641872053
-0.013079455555555557,-0.0094986960877702434
-0.013077405555555557,-0.0094986960877700907
-0.013075355555555557,-0.010506061217020978
-0.013073305555555557,-0.0084913309585196595
-0.013071255555555557,-0.0094986960877696328
-0.013069205555555557,-0.0091629077113531271
-0.013067155555555557,-0.0088271193349360125
-0.013065105555555557,-0.0084913309585188963
-0.013063055555555555,-0.0088271193349358599
-0.013061005555555555,-0.0084913309585187436
-0.013058955555555555,-0.0074839658292673982
-0.013056905555555555,-0.0081555425821016291
-0.013054855555555555,-0.0078197542056845128
-0.013052805555555555,-0.0088271193349358599
-0.013050755555555555,-0.0084913309585187436
-0.013048705555555555,-0.0091629077113529744
-0.013046655555555555,-0.0081555425821016291
-0.013044605555555555,-0.0084913309585187436
-0.013042555555555555,-0.0091629077113529744
-0.013040505555555556,-0.0091629077113529744
-0.013038455555555556,-0.0094986960877700907
-0.013036405555555556,-0.0091629077113529744
-0.013034355555555556,-0.0078197542056845128
-0.013032305555555556,-0.0094986960877700907
-0.013030255555555556,-0.0098344844641872053
-0.013028205555555556,-0.0098344844641872053
-0.013026155555555556,-0.0091629077113529744
-0.013024105555555556,-0.0088271193349358599
-0.013022055555555556,-0.0088271193349358599
-0.013020005555555556,-0.0074839658292673982
-0.013017955555555556,-0.0078197542056845128
-0.013015905555555556,-0.0091629077113529744
-0.013013855555555556,-0.011177637969855667
-0.013011805555555556,-0.0098344844641872053
-0.013009755555555556,-0.0098344844641872053
-0.013007705555555554,-0.0091629077113526691
-0.013005655555555554,-0.0084913309585188963
-0.013003605555555554,-0.0088271193349363179
-0.013001555555555554,-0.0098344844641865947
-0.012999505555555554,-0.0084913309585182856
-0.012997455555555554,-0.0074839658292670929
-0.012995405555555554,-0.0068123890764334727
-0.012993355555555555,-0.0074839658292678562
-0.012991305555555555,-0.0084913309585188963
-0.012989255555555555,-0.0088271193349358599
-0.012987205555555555,-0.0088271193349364705
-0.012985155555555555,-0.010170272840604474
-0.012983105555555555,-0.010506061217020978
-0.012981055555555555,-0.0094986960877699381
-0.012979005555555555,-0.0091629077113534324
-0.012976955555555555,-0.010170272840604627
-0.012974905555555555,-0.010841849593437635
